"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
LOGAN MEMORIAL HOSPITAL,180066,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LOGAN MEMORIAL HOSPITAL,180066,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
UNIVERSITY OF KENTUCKY HOSPITAL,180067,KY,READM-30-PN-HRRP,150,,0.9172,18.0307,19.6581,21,07/01/2019,06/30/2022
UNIVERSITY OF KENTUCKY HOSPITAL,180067,KY,READM-30-HIP-KNEE-HRRP,N/A,,1.0741,5.5902,5.2048,Too Few to Report,07/01/2019,06/30/2022
UNIVERSITY OF KENTUCKY HOSPITAL,180067,KY,READM-30-HF-HRRP,193,,0.9687,22.3767,23.0992,41,07/01/2019,06/30/2022
UNIVERSITY OF KENTUCKY HOSPITAL,180067,KY,READM-30-COPD-HRRP,76,,0.9280,21.1462,22.7861,11,07/01/2019,06/30/2022
UNIVERSITY OF KENTUCKY HOSPITAL,180067,KY,READM-30-CABG-HRRP,N/A,,0.9202,10.0387,10.9097,Too Few to Report,07/01/2019,06/30/2022
UNIVERSITY OF KENTUCKY HOSPITAL,180067,KY,READM-30-AMI-HRRP,104,,1.0062,14.1324,14.0459,15,07/01/2019,06/30/2022
TUG VALLEY ARH REGIONAL MEDICAL CENTER,180069,KY,READM-30-PN-HRRP,118,,1.1431,20.0455,17.5368,33,07/01/2019,06/30/2022
TUG VALLEY ARH REGIONAL MEDICAL CENTER,180069,KY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
TUG VALLEY ARH REGIONAL MEDICAL CENTER,180069,KY,READM-30-HF-HRRP,140,,1.1094,22.8084,20.5589,39,07/01/2019,06/30/2022
TUG VALLEY ARH REGIONAL MEDICAL CENTER,180069,KY,READM-30-COPD-HRRP,119,,1.1133,20.1948,18.1401,31,07/01/2019,06/30/2022
TUG VALLEY ARH REGIONAL MEDICAL CENTER,180069,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
TUG VALLEY ARH REGIONAL MEDICAL CENTER,180069,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,180070,KY,READM-30-PN-HRRP,108,,0.9658,16.0707,16.6400,15,07/01/2019,06/30/2022
OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,180070,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,180070,KY,READM-30-HF-HRRP,71,,1.0213,20.5439,20.1148,16,07/01/2019,06/30/2022
OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,180070,KY,READM-30-COPD-HRRP,61,,1.0417,17.0826,16.3993,13,07/01/2019,06/30/2022
OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,180070,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
OWENSBORO HEALTH TWIN LAKES MEDICAL CENTER,180070,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
PAINTSVILLE ARH HOSPITAL,180078,KY,READM-30-PN-HRRP,130,,1.1062,19.2300,17.3835,32,07/01/2019,06/30/2022
PAINTSVILLE ARH HOSPITAL,180078,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
PAINTSVILLE ARH HOSPITAL,180078,KY,READM-30-HF-HRRP,45,,1.0432,22.4852,21.5537,13,07/01/2019,06/30/2022
PAINTSVILLE ARH HOSPITAL,180078,KY,READM-30-COPD-HRRP,60,,1.0012,19.8676,19.8436,12,07/01/2019,06/30/2022
PAINTSVILLE ARH HOSPITAL,180078,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
PAINTSVILLE ARH HOSPITAL,180078,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
HARRISON MEMORIAL HOSPITAL,180079,KY,READM-30-PN-HRRP,N/A,,0.9684,13.4322,13.8705,Too Few to Report,07/01/2019,06/30/2022
HARRISON MEMORIAL HOSPITAL,180079,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
HARRISON MEMORIAL HOSPITAL,180079,KY,READM-30-HF-HRRP,N/A,,0.9720,18.3221,18.8490,Too Few to Report,07/01/2019,06/30/2022
HARRISON MEMORIAL HOSPITAL,180079,KY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
HARRISON MEMORIAL HOSPITAL,180079,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
HARRISON MEMORIAL HOSPITAL,180079,KY,READM-30-AMI-HRRP,N/A,,0.9935,11.9756,12.0543,Too Few to Report,07/01/2019,06/30/2022
BAPTIST HEALTH CORBIN,180080,KY,READM-30-PN-HRRP,305,,0.9450,18.0138,19.0632,51,07/01/2019,06/30/2022
BAPTIST HEALTH CORBIN,180080,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BAPTIST HEALTH CORBIN,180080,KY,READM-30-HF-HRRP,164,,0.9398,21.4852,22.8619,31,07/01/2019,06/30/2022
BAPTIST HEALTH CORBIN,180080,KY,READM-30-COPD-HRRP,90,,0.9653,20.3658,21.0981,16,07/01/2019,06/30/2022
BAPTIST HEALTH CORBIN,180080,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BAPTIST HEALTH CORBIN,180080,KY,READM-30-AMI-HRRP,67,,1.0411,14.9028,14.3139,12,07/01/2019,06/30/2022
TAYLOR REGIONAL HOSPITAL,180087,KY,READM-30-PN-HRRP,126,,0.9315,17.3923,18.6722,17,07/01/2019,06/30/2022
TAYLOR REGIONAL HOSPITAL,180087,KY,READM-30-HIP-KNEE-HRRP,N/A,,1.1480,5.0788,4.4240,Too Few to Report,07/01/2019,06/30/2022
TAYLOR REGIONAL HOSPITAL,180087,KY,READM-30-HF-HRRP,102,,0.9895,21.2864,21.5121,21,07/01/2019,06/30/2022
TAYLOR REGIONAL HOSPITAL,180087,KY,READM-30-COPD-HRRP,N/A,,0.9226,20.7488,22.4889,Too Few to Report,07/01/2019,06/30/2022
TAYLOR REGIONAL HOSPITAL,180087,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
TAYLOR REGIONAL HOSPITAL,180087,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
"NORTON HOSPITALS, INC",180088,KY,READM-30-PN-HRRP,1150,,1.0129,17.4884,17.2661,202,07/01/2019,06/30/2022
"NORTON HOSPITALS, INC",180088,KY,READM-30-HIP-KNEE-HRRP,N/A,,0.9104,4.0898,4.4922,Too Few to Report,07/01/2019,06/30/2022
"NORTON HOSPITALS, INC",180088,KY,READM-30-HF-HRRP,1208,,1.0080,21.0649,20.8985,255,07/01/2019,06/30/2022
"NORTON HOSPITALS, INC",180088,KY,READM-30-COPD-HRRP,330,,1.0774,21.2323,19.7074,75,07/01/2019,06/30/2022
"NORTON HOSPITALS, INC",180088,KY,READM-30-CABG-HRRP,162,,1.0311,11.1972,10.8600,19,07/01/2019,06/30/2022
"NORTON HOSPITALS, INC",180088,KY,READM-30-AMI-HRRP,454,,1.0277,14.4582,14.0681,67,07/01/2019,06/30/2022
CLARK REGIONAL MEDICAL CENTER,180092,KY,READM-30-PN-HRRP,119,,1.0063,17.2848,17.1769,21,07/01/2019,06/30/2022
CLARK REGIONAL MEDICAL CENTER,180092,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CLARK REGIONAL MEDICAL CENTER,180092,KY,READM-30-HF-HRRP,104,,0.9330,19.8380,21.2629,16,07/01/2019,06/30/2022
CLARK REGIONAL MEDICAL CENTER,180092,KY,READM-30-COPD-HRRP,76,,1.0151,21.0320,20.7197,17,07/01/2019,06/30/2022
CLARK REGIONAL MEDICAL CENTER,180092,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CLARK REGIONAL MEDICAL CENTER,180092,KY,READM-30-AMI-HRRP,N/A,,1.0076,14.0785,13.9727,Too Few to Report,07/01/2019,06/30/2022
BAPTIST HEALTH DEACONESS MADISONVILLE,180093,KY,READM-30-PN-HRRP,230,,0.8518,14.6610,17.2118,23,07/01/2019,06/30/2022
BAPTIST HEALTH DEACONESS MADISONVILLE,180093,KY,READM-30-HIP-KNEE-HRRP,N/A,,0.9114,4.7562,5.2188,Too Few to Report,07/01/2019,06/30/2022
BAPTIST HEALTH DEACONESS MADISONVILLE,180093,KY,READM-30-HF-HRRP,165,,0.9504,20.2511,21.3072,30,07/01/2019,06/30/2022
BAPTIST HEALTH DEACONESS MADISONVILLE,180093,KY,READM-30-COPD-HRRP,86,,0.9713,19.6411,20.2216,15,07/01/2019,06/30/2022
BAPTIST HEALTH DEACONESS MADISONVILLE,180093,KY,READM-30-CABG-HRRP,N/A,,1.0423,10.5904,10.1610,Too Few to Report,07/01/2019,06/30/2022
BAPTIST HEALTH DEACONESS MADISONVILLE,180093,KY,READM-30-AMI-HRRP,N/A,,1.0013,14.4273,14.4082,Too Few to Report,07/01/2019,06/30/2022
CRITTENDEN COMMUNITY HOSPITAL,180095,KY,READM-30-PN-HRRP,N/A,,1.0381,13.7878,13.2820,Too Few to Report,07/01/2019,06/30/2022
CRITTENDEN COMMUNITY HOSPITAL,180095,KY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CRITTENDEN COMMUNITY HOSPITAL,180095,KY,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CRITTENDEN COMMUNITY HOSPITAL,180095,KY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CRITTENDEN COMMUNITY HOSPITAL,180095,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
CRITTENDEN COMMUNITY HOSPITAL,180095,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GEORGETOWN COMMUNITY HOSPITAL,180101,KY,READM-30-PN-HRRP,N/A,,1.0280,16.5875,16.1352,Too Few to Report,07/01/2019,06/30/2022
GEORGETOWN COMMUNITY HOSPITAL,180101,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GEORGETOWN COMMUNITY HOSPITAL,180101,KY,READM-30-HF-HRRP,52,,1.0136,21.3142,21.0276,12,07/01/2019,06/30/2022
GEORGETOWN COMMUNITY HOSPITAL,180101,KY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GEORGETOWN COMMUNITY HOSPITAL,180101,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GEORGETOWN COMMUNITY HOSPITAL,180101,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LOURDES HOSPITAL,180102,KY,READM-30-PN-HRRP,332,,0.9270,15.7156,16.9526,47,07/01/2019,06/30/2022
LOURDES HOSPITAL,180102,KY,READM-30-HIP-KNEE-HRRP,325,,1.1385,5.8379,5.1276,21,07/01/2019,06/30/2022
LOURDES HOSPITAL,180102,KY,READM-30-HF-HRRP,387,,0.9458,19.0424,20.1345,70,07/01/2019,06/30/2022
LOURDES HOSPITAL,180102,KY,READM-30-COPD-HRRP,140,,1.0852,19.7945,18.2402,33,07/01/2019,06/30/2022
LOURDES HOSPITAL,180102,KY,READM-30-CABG-HRRP,N/A,,0.9588,10.3221,10.7662,Too Few to Report,07/01/2019,06/30/2022
LOURDES HOSPITAL,180102,KY,READM-30-AMI-HRRP,187,,0.9447,13.2630,14.0390,22,07/01/2019,06/30/2022
BAPTIST HEALTH LEXINGTON,180103,KY,READM-30-PN-HRRP,570,,1.0179,16.8055,16.5102,97,07/01/2019,06/30/2022
BAPTIST HEALTH LEXINGTON,180103,KY,READM-30-HIP-KNEE-HRRP,133,,1.2097,6.7902,5.6130,12,07/01/2019,06/30/2022
BAPTIST HEALTH LEXINGTON,180103,KY,READM-30-HF-HRRP,565,,0.9012,18.2010,20.1961,96,07/01/2019,06/30/2022
BAPTIST HEALTH LEXINGTON,180103,KY,READM-30-COPD-HRRP,158,,0.9811,18.5005,18.8577,28,07/01/2019,06/30/2022
BAPTIST HEALTH LEXINGTON,180103,KY,READM-30-CABG-HRRP,177,,1.1709,12.7378,10.8785,27,07/01/2019,06/30/2022
BAPTIST HEALTH LEXINGTON,180103,KY,READM-30-AMI-HRRP,222,,1.1186,15.0791,13.4801,39,07/01/2019,06/30/2022
BAPTIST HEALTH PADUCAH,180104,KY,READM-30-PN-HRRP,353,,0.9860,16.7036,16.9413,58,07/01/2019,06/30/2022
BAPTIST HEALTH PADUCAH,180104,KY,READM-30-HIP-KNEE-HRRP,N/A,,0.8921,5.8135,6.5168,Too Few to Report,07/01/2019,06/30/2022
BAPTIST HEALTH PADUCAH,180104,KY,READM-30-HF-HRRP,394,,0.9839,20.3262,20.6581,79,07/01/2019,06/30/2022
BAPTIST HEALTH PADUCAH,180104,KY,READM-30-COPD-HRRP,159,,0.9411,18.8360,20.0151,26,07/01/2019,06/30/2022
BAPTIST HEALTH PADUCAH,180104,KY,READM-30-CABG-HRRP,N/A,,0.8387,7.9102,9.4319,Too Few to Report,07/01/2019,06/30/2022
BAPTIST HEALTH PADUCAH,180104,KY,READM-30-AMI-HRRP,183,,0.9645,11.8732,12.3104,20,07/01/2019,06/30/2022
MONROE COUNTY MEDICAL CENTER,180105,KY,READM-30-PN-HRRP,113,,1.1696,18.0067,15.3952,31,07/01/2019,06/30/2022
MONROE COUNTY MEDICAL CENTER,180105,KY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONROE COUNTY MEDICAL CENTER,180105,KY,READM-30-HF-HRRP,74,,1.0726,18.2049,16.9730,18,07/01/2019,06/30/2022
MONROE COUNTY MEDICAL CENTER,180105,KY,READM-30-COPD-HRRP,64,,1.0896,16.5888,15.2240,16,07/01/2019,06/30/2022
MONROE COUNTY MEDICAL CENTER,180105,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
MONROE COUNTY MEDICAL CENTER,180105,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
THE MEDICAL CENTER AT ALBANY,180106,KY,READM-30-PN-HRRP,N/A,,1.0031,13.5798,13.5383,Too Few to Report,07/01/2019,06/30/2022
THE MEDICAL CENTER AT ALBANY,180106,KY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
THE MEDICAL CENTER AT ALBANY,180106,KY,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
THE MEDICAL CENTER AT ALBANY,180106,KY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
THE MEDICAL CENTER AT ALBANY,180106,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
THE MEDICAL CENTER AT ALBANY,180106,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
"ROCKCASTLE COUNTY HOSPITAL, INC.",180115,KY,READM-30-PN-HRRP,44,,1.0660,17.3370,16.2643,12,07/01/2019,06/30/2022
"ROCKCASTLE COUNTY HOSPITAL, INC.",180115,KY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
"ROCKCASTLE COUNTY HOSPITAL, INC.",180115,KY,READM-30-HF-HRRP,N/A,,1.0159,21.2413,20.9092,Too Few to Report,07/01/2019,06/30/2022
"ROCKCASTLE COUNTY HOSPITAL, INC.",180115,KY,READM-30-COPD-HRRP,49,,1.0208,19.6473,19.2478,11,07/01/2019,06/30/2022
"ROCKCASTLE COUNTY HOSPITAL, INC.",180115,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
"ROCKCASTLE COUNTY HOSPITAL, INC.",180115,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
JACKSON PURCHASE MEDICAL CENTER,180116,KY,READM-30-PN-HRRP,195,,0.9353,16.1935,17.3145,27,07/01/2019,06/30/2022
JACKSON PURCHASE MEDICAL CENTER,180116,KY,READM-30-HIP-KNEE-HRRP,N/A,,1.0070,5.9020,5.8608,Too Few to Report,07/01/2019,06/30/2022
JACKSON PURCHASE MEDICAL CENTER,180116,KY,READM-30-HF-HRRP,145,,1.0212,19.7352,19.3263,30,07/01/2019,06/30/2022
JACKSON PURCHASE MEDICAL CENTER,180116,KY,READM-30-COPD-HRRP,88,,1.0431,20.6638,19.8108,21,07/01/2019,06/30/2022
JACKSON PURCHASE MEDICAL CENTER,180116,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
JACKSON PURCHASE MEDICAL CENTER,180116,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREENVIEW REGIONAL HOSPITAL,180124,KY,READM-30-PN-HRRP,201,,1.0056,15.7334,15.6458,32,07/01/2019,06/30/2022
GREENVIEW REGIONAL HOSPITAL,180124,KY,READM-30-HIP-KNEE-HRRP,167,,1.3801,6.0140,4.3578,15,07/01/2019,06/30/2022
GREENVIEW REGIONAL HOSPITAL,180124,KY,READM-30-HF-HRRP,172,,1.0025,19.0904,19.0427,33,07/01/2019,06/30/2022
GREENVIEW REGIONAL HOSPITAL,180124,KY,READM-30-COPD-HRRP,89,,1.0526,17.6792,16.7951,19,07/01/2019,06/30/2022
GREENVIEW REGIONAL HOSPITAL,180124,KY,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
GREENVIEW REGIONAL HOSPITAL,180124,KY,READM-30-AMI-HRRP,88,,1.0514,14.2746,13.5774,15,07/01/2019,06/30/2022
FRANKFORT REGIONAL MEDICAL CENTER,180127,KY,READM-30-PN-HRRP,184,,0.9739,15.6509,16.0710,27,07/01/2019,06/30/2022
FRANKFORT REGIONAL MEDICAL CENTER,180127,KY,READM-30-HIP-KNEE-HRRP,N/A,,1.0562,4.5000,4.2607,Too Few to Report,07/01/2019,06/30/2022
FRANKFORT REGIONAL MEDICAL CENTER,180127,KY,READM-30-HF-HRRP,136,,1.0953,22.6226,20.6534,37,07/01/2019,06/30/2022
FRANKFORT REGIONAL MEDICAL CENTER,180127,KY,READM-30-COPD-HRRP,68,,1.1233,19.8403,17.6627,21,07/01/2019,06/30/2022
FRANKFORT REGIONAL MEDICAL CENTER,180127,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
FRANKFORT REGIONAL MEDICAL CENTER,180127,KY,READM-30-AMI-HRRP,N/A,,1.0783,12.9970,12.0535,Too Few to Report,07/01/2019,06/30/2022
THREE RIVERS MEDICAL CENTER,180128,KY,READM-30-PN-HRRP,61,,1.0246,18.5214,18.0771,13,07/01/2019,06/30/2022
THREE RIVERS MEDICAL CENTER,180128,KY,READM-30-HIP-KNEE-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
THREE RIVERS MEDICAL CENTER,180128,KY,READM-30-HF-HRRP,N/A,,0.9774,21.3952,21.8895,Too Few to Report,07/01/2019,06/30/2022
THREE RIVERS MEDICAL CENTER,180128,KY,READM-30-COPD-HRRP,N/A,,0.9920,18.4563,18.6044,Too Few to Report,07/01/2019,06/30/2022
THREE RIVERS MEDICAL CENTER,180128,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
THREE RIVERS MEDICAL CENTER,180128,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BAPTIST HEALTH LOUISVILLE,180130,KY,READM-30-PN-HRRP,840,,0.9247,15.0315,16.2563,121,07/01/2019,06/30/2022
BAPTIST HEALTH LOUISVILLE,180130,KY,READM-30-HIP-KNEE-HRRP,605,,1.2388,5.0789,4.0999,34,07/01/2019,06/30/2022
BAPTIST HEALTH LOUISVILLE,180130,KY,READM-30-HF-HRRP,1219,,0.9352,18.6550,19.9470,223,07/01/2019,06/30/2022
BAPTIST HEALTH LOUISVILLE,180130,KY,READM-30-COPD-HRRP,257,,0.9856,18.6543,18.9264,47,07/01/2019,06/30/2022
BAPTIST HEALTH LOUISVILLE,180130,KY,READM-30-CABG-HRRP,N/A,,0.8358,8.7977,10.5258,Too Few to Report,07/01/2019,06/30/2022
BAPTIST HEALTH LOUISVILLE,180130,KY,READM-30-AMI-HRRP,354,,0.9296,12.0137,12.9240,39,07/01/2019,06/30/2022
LAKE CUMBERLAND REGIONAL HOSPITAL,180132,KY,READM-30-PN-HRRP,319,,0.9592,16.5698,17.2753,50,07/01/2019,06/30/2022
LAKE CUMBERLAND REGIONAL HOSPITAL,180132,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAKE CUMBERLAND REGIONAL HOSPITAL,180132,KY,READM-30-HF-HRRP,201,,1.0121,20.9900,20.7396,43,07/01/2019,06/30/2022
LAKE CUMBERLAND REGIONAL HOSPITAL,180132,KY,READM-30-COPD-HRRP,148,,0.9872,20.1729,20.4343,29,07/01/2019,06/30/2022
LAKE CUMBERLAND REGIONAL HOSPITAL,180132,KY,READM-30-CABG-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
LAKE CUMBERLAND REGIONAL HOSPITAL,180132,KY,READM-30-AMI-HRRP,177,,1.0240,13.4640,13.1485,25,07/01/2019,06/30/2022
BAPTIST HEALTH LAGRANGE,180138,KY,READM-30-PN-HRRP,N/A,,0.9548,14.9285,15.6346,Too Few to Report,07/01/2019,06/30/2022
BAPTIST HEALTH LAGRANGE,180138,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BAPTIST HEALTH LAGRANGE,180138,KY,READM-30-HF-HRRP,57,,1.0101,19.8856,19.6862,12,07/01/2019,06/30/2022
BAPTIST HEALTH LAGRANGE,180138,KY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BAPTIST HEALTH LAGRANGE,180138,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
BAPTIST HEALTH LAGRANGE,180138,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KENTUCKY RIVER MEDICAL CENTER,180139,KY,READM-30-PN-HRRP,100,,1.0758,17.9742,16.7070,23,07/01/2019,06/30/2022
KENTUCKY RIVER MEDICAL CENTER,180139,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KENTUCKY RIVER MEDICAL CENTER,180139,KY,READM-30-HF-HRRP,46,,1.0609,21.7925,20.5417,14,07/01/2019,06/30/2022
KENTUCKY RIVER MEDICAL CENTER,180139,KY,READM-30-COPD-HRRP,84,,1.0468,19.0903,18.2361,19,07/01/2019,06/30/2022
KENTUCKY RIVER MEDICAL CENTER,180139,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
KENTUCKY RIVER MEDICAL CENTER,180139,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
UNIVERSITY OF LOUISVILLE HOSPITAL,180141,KY,READM-30-PN-HRRP,86,,0.9659,19.1428,19.8178,14,07/01/2019,06/30/2022
UNIVERSITY OF LOUISVILLE HOSPITAL,180141,KY,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
UNIVERSITY OF LOUISVILLE HOSPITAL,180141,KY,READM-30-HF-HRRP,62,,1.0529,23.2846,22.1151,18,07/01/2019,06/30/2022
UNIVERSITY OF LOUISVILLE HOSPITAL,180141,KY,READM-30-COPD-HRRP,65,,1.0390,20.6867,19.9095,16,07/01/2019,06/30/2022
UNIVERSITY OF LOUISVILLE HOSPITAL,180141,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
UNIVERSITY OF LOUISVILLE HOSPITAL,180141,KY,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SAINT JOSEPH EAST,180143,KY,READM-30-PN-HRRP,109,,1.0473,18.1662,17.3455,23,07/01/2019,06/30/2022
SAINT JOSEPH EAST,180143,KY,READM-30-HIP-KNEE-HRRP,124,,1.3908,7.1464,5.1382,14,07/01/2019,06/30/2022
SAINT JOSEPH EAST,180143,KY,READM-30-HF-HRRP,108,,0.9761,20.0077,20.4968,20,07/01/2019,06/30/2022
SAINT JOSEPH EAST,180143,KY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SAINT JOSEPH EAST,180143,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
SAINT JOSEPH EAST,180143,KY,READM-30-AMI-HRRP,N/A,,0.9820,13.2050,13.4466,Too Few to Report,07/01/2019,06/30/2022
TJ HEALTH COLUMBIA,180149,KY,READM-30-PN-HRRP,N/A,,0.9477,13.7431,14.5009,Too Few to Report,07/01/2019,06/30/2022
TJ HEALTH COLUMBIA,180149,KY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
TJ HEALTH COLUMBIA,180149,KY,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
TJ HEALTH COLUMBIA,180149,KY,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
TJ HEALTH COLUMBIA,180149,KY,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
TJ HEALTH COLUMBIA,180149,KY,READM-30-AMI-HRRP,0,7,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
"PINEVILLE COMMUNITY HEALTH CENTER, INC",180154,KY,READM-30-PN-HRRP,N/A,,1.0555,17.4876,16.5674,Too Few to Report,07/01/2019,06/30/2022
"PINEVILLE COMMUNITY HEALTH CENTER, INC",180154,KY,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2019,06/30/2022
